2017-01-16 08:28:19,140 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "107" (QoS: 2, retained: false)
2017-01-16 08:28:19,140 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "178" (QoS: 2, retained: false)
2017-01-16 08:28:19,140 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "105" (QoS: 2, retained: false)
2017-01-16 08:28:19,140 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "177" (QoS: 2, retained: false)
2017-01-16 08:28:19,140 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "177" (QoS: 2, retained: false)
2017-01-16 08:28:19,140 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "100" (QoS: 2, retained: false)
2017-01-16 08:28:19,156 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "177" (QoS: 2, retained: false)
2017-01-16 08:28:19,156 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "102" (QoS: 2, retained: false)
2017-01-16 08:28:19,156 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "177" (QoS: 2, retained: false)
2017-01-16 08:28:19,156 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "104" (QoS: 2, retained: false)
2017-01-16 08:28:19,171 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "177" (QoS: 2, retained: false)
2017-01-16 08:28:19,171 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "101" (QoS: 2, retained: false)
2017-01-16 08:28:19,171 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "176" (QoS: 2, retained: false)
2017-01-16 08:28:19,171 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "102" (QoS: 2, retained: false)
2017-01-16 08:28:19,271 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "175" (QoS: 2, retained: false)
2017-01-16 08:28:19,292 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "102" (QoS: 2, retained: false)
2017-01-16 08:28:19,292 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/alpha": "176" (QoS: 2, retained: false)
